airline_sentiment,text
negative,@JetBlue mechanical failure isn't Boston' fault.
negative,@united now you've lost my bags too.  At least nobody has done anything to help out.  This is absurd.
negative,@SouthwestAir you could be a little more accommodating with extending my flight credit.Whats 10 extra days!#notahappytraveler
neutral,"@united What does ""Cabin Functionality"" mean when I'm taking a customer satisfaction survey?"
negative,@SouthwestAir give us some more clever advertising about #bagsflyfree is that because #badpolicy allows you to #cheatcustomers
negative,@USAirways plz plz plz hold 4438 to EYW. The 810 PHL &gt;CLT is sooo Late Flight. Gonna miss the connection for @jabevan221 's 40th #GTH239
positive,@SouthwestAir would be cool if the best airlines company hooked me up with @Imaginedragons tickets for Vegas ;)
negative,"@JetBlue yes, today. Flight is full now. They said no to me at gate :("
neutral,@united in Bogota with no wallet is no fun. :-(
neutral,@JetBlue Indeed. It was not 😉.
negative,@AmericanAir we have 3 more passengers with me   There are two more reservation numbers
negative,@AmericanAir @hoagy10 how about you stop cutting and pasting apologies and get some additional phone reps to do their jobs
negative,@USAirways over an hour is unacceptable wait time. thanks for nothing.  Be sure never to fly you again
positive,@united #FirstClass to #London on my way to #LondonFashionWeek #LFW15 👠🇬🇧👠🇬🇧👠🇬🇧
negative,"@SouthwestAir flight to BOS Cancelled Flightled, no flights till TUESDAY, spent $1000 to get a flight through another airline + $170 for hotel. Refund"
negative,@SouthwestAir fyi the link in your baggage incident email redirects to a 404 on mobile. The link auto changes on mobile. Desktop works fine.
negative,@USAirways your service has been awful in Boston and I had to pay 25 extra dollars than I was supposed too I am very dissatisfied #mad
negative,@USAirways only sympathy she offered was holding a reservation until Monday night. That's pretty awesome if you ask me...
neutral,@JetBlue to Increase Charter Service to Cuba - #Travel Agent http://t.co/lYQrb4HCYU
neutral,@SouthwestAir so was there a winner for #DestinationDragons ???
positive,@VirginAmerica your inflight team makes the experience #amazing!
negative,@AmericanAir Thank u! Did reach out to both and have not had a response yet. Lost and Found goes straight to VM.
positive,@USAirways awesome! Flight #676 out of philly on Tuesday. Party in row 15 if you're interested.
positive,@SouthwestAir hot stewardess flipped me off
negative,@united ...she could not access seat map so she said she would note the upgrade in my itinerary and to call back Late Flightr...
positive,@united sent a DM just now. Thanks I am incredibly happy the fast response I got via Twitter than via customer care. Thank you
negative,@USAirways I've been on hold for one hour and four minutes for your reservations line. How can you possibly do business this way?
positive,@JetBlue @NinaDavuluri 😃cool
negative,@united I wonder if sharing all this on FB and insta would produce a number. 140 characters really limits my story telling.
neutral,@united any updates with the DOT looking at the united fares from London to the US from last week?
negative,@USAirways DCA to RSW at 8:30am Cancelled Flightled.  Rebook to Charlotte Cancelled Flightled.  Can we rebook selves online???
neutral,@united I just had an interview how long does it take before you hear back
neutral,@USAirways The help/complaint forms on the website can be used only if the matter applies to an actual ticketed flight
negative,@united it's disgusting and unconscionable the treatment I've received tonight.
negative,@USAirways @PHLAirport flight 837 landed at 10:30 pm and we are still on the plane. Help!!!!!!
negative,"@USAirways , since jan 22 have been on 10 flights. Why the disrespect in CLT, flt #2063 at 2:50pm on 18feb to DCA? just asked herba question"
neutral,@USAirways @AmericanAir can someone help me with some travel issues today?
negative,@JetBlue full the six of us had to leave flight. And now have to wait a whole day to get a flight and my kids will miss school.
negative,@USAirways missing my reservations due to a Cancelled Flightled flight. Make it right by giving me first class tomorrow. Make your customers happy.
negative,"@USAirways - Good to know that your phone customer service is still impaired due to ""bad weather"" that was over a week ago #jetblueanyone?"
negative,"Just in case you needed confirmation that ""on fleek"" is dead &amp; gone. RT @JetBlue: Our fleet's on fleek. http://t.co/G4O6yX7TMJ"
negative,@AmericanAir it is absolutely unacceptable.  I have been calling all day and am hung up on every time. I just need a 5 minute bit of help!
negative,@united So you are inadequate by accident?
positive,"@united Thx, just DM'd. Conf #'s MQXC64 &amp; MPWNC2. Any help appreciated"
negative,"@AmericanAir aa employees were rude and unwilling to help. 10,000 miles is a rotten cherry on top of a dog shit Sunday. #nocareforcustomers"
neutral,"@USAirways well, depending on the policy will make the determination as to which airline is selected to travel."
negative,@united Been trying since 1230 to file a report.
negative,@USAirways you idiots kept an on time plane on the Tarmac for over an hour forcing us to not be there 10 minutes before.
negative,"@JetBlue yes, last month when Boston got the first big snow storm and my flight was Cancelled Flightled."
negative,@SouthwestAir    Promotion e-mail today (Vegas and Jamaica) has a defective link for the Vegas sweepstakes...it times out with error.
negative,@VirginAmerica WTF is happening in PDX Late Flight March such that one way from SFO is ~$550?
neutral,@USAirways unfortunately not. I think I watched it take off from the bus. Rebooked for a Late Flightr flight now #planestrainsandautomobiles
positive,@VirginAmerica love the 90s music blasting at gate in #Boston while waiting for flight to #SanFrancisco. Only if I could get an iced coffee!
negative,@JetBlue Well being on time is not going to happen now. Safety does come 1at. Looks like I'll have 2 look 4 another flight now #1stTimeFlyer
negative,@SouthwestAir @fly2midway 45 minute wait for my bags. Just what I needed on a Sunday night.
negative,"@united you need to retrain your flight attendants. Saying there is no more room for carry ons when there actually is, is not cool."
positive,@AmericanAir ok no worries. Thanks for the straight story. It's appreciated.
negative,@USAirways now on hold for 75 minutes.
negative,@united @gg8929 Unbelievable hypocrisy!!
negative,@AmericanAir - you broke my sick wife's luggage handle going from JFK to LAX...she had to drag her bag thru the airport! #customerservice
neutral,"@SouthwestAir check the head of the plane, there has been dynamite placed onto it"
neutral,@SouthwestAir I cannot DM you as you do not follow me.
positive,@JetBlue thanks! Have a good Sunday.
negative,@AmericanAir I have been on hold 3 hours.  2 seconds of it with a rude agent.
negative,"@USAirways If you believe in keeping your customers happy, especially after a mistake was made on your part..."
negative,@AmericanAir your planes made me miss 2 connections in 2 days. Thanks for nothing
negative,@AmericanAir 2hr and 20 min delayed...still waiting...you need to do something to improve... http://t.co/1m36NTPTR8
neutral,@united I will. I have to get to Bangkok. I have just 17 days to spend with my husband in his mid deployment leave. Like to get there asap
negative,"@USAirways I checked in ""Standby for 1st Class"" only to find I am ""not on the list"". This merger is a pain."
negative,"@united no, it was 2 flight Cancelled Flightlations (one due to weather, one mechanical) paid own hotel, bag held in transfer. No voucher/compensation"
positive,@united THANK YOU!
neutral,@AmericanAir thanks for the info Is there a number I can call to speak to a person? It's going to take an hour to type it out
negative,@united No. Denver said they don't handle baggage that made it to Colo. Springs.  They gave me an 800 number to call. No help there either.
negative,@USAirways tooooo many Cancelled Flightations! My chain of command hates me now
positive,"@JetBlue Love you, bae. #JetBae"
neutral,"@USAirways contact via FB messages, Twitter DM or text?"
negative,@SouthwestAir I don't have a conference number.  I spoke with Courtney in Texas and David before that. they finally fixed mine after an hour
negative,@AmericanAir  is the worst airline to ever travel with!!!! The worst!! They're equivalent to DIRT!!!!!!
negative,@AmericanAir Just learned my flight is Cancelled Flightled.can't get through by phone and don't see any option for assistance online. Any suggestions?
neutral,@AmericanAir  that's what I am hoping for
neutral,@united Any news about the departure of the flight UA51?
positive,"@VirginAmerica so loyal that I'm driving to #NYC from #PA, to fly Virgin,  since you cut #Philly flights ;)"
negative,@united How can you not know where my bags are?  You knew where they were 6 hours ago. You are killing me!  Worst service. Ever.
negative,"@united any way you can help me find a flight to LAS? Stuck in DIA, sat on plane 2 hrs, now been waiting an hour for an update."
positive,"@AmericanAir thanks, me too"
negative,@USAirways @husainhaqqani Mr. Husain u shld protest as well when one of ur party member Rehman Malik delayed a PIA flight for hours..???
neutral,@USAirways what about AA miles for USAir flights booked through American?
negative,@USAirways @AmericanAir flight 849's four subsequent delays destroyed my travel plans this evening. Looking to resolve this matter.
positive,@SouthwestAir following. Thank you.
negative,@united to speak to a real person to get this resolved politely and efficiently. (2/2)
negative,@united 8 hours Late Flightr and I'm siting on another plane waiting to leave. I think a credit is in order for this terrible service!
negative,@JetBlue I understand why ur doing it. But for someone who just traveled 2+ hours to get here early. Relax b4 flight etc. Adv notice maybe??
negative,"@AmericanAir @USAirways ""but I take meds that make me severely dehydrated"" {sigh}"
negative,@USAirways i have been patient.. especially the first time. i will never fly with you again
negative,@JetBlue ask @j_beatz247 but I teach marketing at a university and will gladly consult on customer service and how NOT to treat passengers.
positive,@USAirways - Check-in staff at PHX are awesome! Great traffic control for general boarding.
neutral,"Can I put sun in my carry on? RT “@united: @ant_kneee Right now 0 would be a heat wave, so enjoy the warmth! Can you bring some home? ^JJ”"
negative,@VirginAmerica How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!
neutral,@united can you please tell me where United flies to from Sydney Australia - pref Asia Pac or US as I have a voucher to redeem.
positive,@VirginAmerica thank you! I absolutely will 😎
negative,@AmericanAir I understand flight Cancelled Flightation but not being able to get through to change that flight for 6 hrs is not acceptable.
neutral,"@united no, didn't notice I was 38A until start of boarding. Assumed I was 8E. By time boarding started, GAs had cleared standbys, full flt"
negative,@UsAirways can a real person help me here? This customer service is poor. I'm at the mercy of someone since the flights are disappearing.
negative,"@united just curious, when are you going to to finally learn #customerservice ?"
positive,@SouthwestAir I'll do that. Can't DM until you follow me. Thanks!
positive,@VirginAmerica really wish you'd fly out of #Fargo @fargoairport those fares are amazings
negative,@SouthwestAir Flying now from JAX to DEN and I paid $8 for wifi that barely is functional.  Couldn't do work if I wanted to.  Never again.
negative,@AmericanAir I understand you are busy but I have still gotten no answer. I need to get home and you guys have not helped at all
positive,"@JetBlue she was a phone agent, pls do! Peggy was pleasant, informative and delivered. ⭐️⭐️⭐️⭐️⭐️"
neutral,@USAirways absolutely
negative,@united has made my no fly list. Other airlines wait when connector Late Flight. Stuck in IAH.
negative,@USAirways I've been waiting for the callback for EIGHT HOURS. HOW MUCH LONGER?!
positive,@united enjoyed #heathrow lounge so much i almost missed my @airnzusa flight!
positive,@JetBlue Hi! Just wanted to see if you have any new routes planned this year for Newark. Love flying you guys and hope to do so more!
negative,@united Boston is all self service. Swipe yr own boarding pass at gate. Most difficult: Tag your own bag. Not easy! #ImproveTheProcess
negative,@united missing this wedding because of these delays would not be cool
negative,@USAirways I followed you complaint procedure only to get a run around.  Your service SUCKS #usairwayssuck
negative,@USAirways even alternate options are allready full...even with hotel voucher...no more room in philly?
negative,@united I'm on hold for the 4th time waiting for you to resolve and issue with a flight for my 6-year-old son. #terribleservice #NoService
positive,"@SouthwestAir Love, love, love this. Southwest Rocks!! Always!! https://t.co/q8VSfFRd1u"
negative,@united that's what I have been told. But refund doesn't really makeup for the inconvenience caused and the missed meeting... Does it?
negative,"@VirginAmerica As one of the travelers affected by the Boston storm, I'm shocked at Virgin's complete apathy toward their customers."
negative,"@AmericanAir hah, best flight attendant response, if you not happy getting screwed over, you have other carriers.   hahahah pathetic"
negative,@united why is it that Sundays when my husband travels to Chicago he's stuck at Tarmac &amp; misses connecting flight always
negative,"@USAirways Why were we loaded onto the plane (4 hours Late Flight, mind you), made to sit for 40 minutes"
negative,@united been sitting on this plane 3:15 unreal. When will my 2+ day nightmare end?
neutral,@SouthwestAir I enjoyed a call from my good friend he's Flight Booking Problems his flights elsewhere as I tweet one at a time I will tell as many as I can
neutral,@United Stars and Bars @iah #A320 @airlineguys @AirlineGeeks #avgeek http://t.co/mWSoGUC33p
negative,@USAirways  ! THE WORST in customer service. @USAirways ! Calling for over a month to book a flight! #poorcustomerservice #usairwaysfflyer
negative,@USAirways already did it. One person said they couldn't do anything another said she didn't know why the first person we talked 2 said that
negative,.@united Let us know when you find everyone's luggage. Thanks. #UnitedAirlines
neutral,@AmericanAir yes and I would like a refund.
positive,"I appreciate the reply. RT @SouthwestAir: @luxclark We’re so sorry to keep you waiting, Laura. An Agent will be with you shortly...^CB"
negative,@USAirways Easily the most ridiculous experience trying to spend money with your company.
negative,"@SouthwestAir @CallMeStanley7 And bring back the ""Agent will call you back..."" feature. Why was that ever discontinued???"
negative,@SouthwestAir Two delayed flights in a row. Neither one of them explained
negative,@USAirways worst customer service experience ever today. Get it together.
negative,@AmericanAir now you're sending a gate agent to talk to us? Joke of an airline. Thanks for ruining my vacation. #neverflyAAagain
positive,@USAirways thanks! It's hectic for everyone but their actions don't represent the company well IMO
positive,@united this is why I fly @SouthwestAir ... Never have any issues
negative,"@united Great!  I'm guessing you were Late Flight to open, service is horrible, you're overcharging, and don't care that everyone is miserable."
positive,@AmericanAir No apology necessary. It was wind and I was on Delta. XOXO
negative,@AmericanAir how can I when system always hangs up on me?
negative,@united Flight delayed 40 minutes in ORD because plane didn’t have all the food. That should be fixed in the future. It’s a dumb delay.
neutral,@SouthwestAir adds new direct flights from #Columbus to Oakland &amp; Boston starting August 2015 #cmh #oak #bos
negative,@JetBlue your wifi is a lie and i hate you
negative,@SouthwestAir no flights out of #nashville today? Are you kidding me?!?! Why are other airlines flying and you're not?! So frustrated!!
negative,@USAirways you're really fudgin up with all these delays 😡 #justwantmybed
negative,@united I am trying to book awards for September and need flights on @aegeanairlines but they will not show even w/ many award seats availab
positive,"@united thanks, keep up the good work"
neutral,@JetBlue Thank you ! What about Paris ? Could we arrange something from there ?
negative,"@AmericanAir @sa_craig no, not helped one bit. actually ended up driving home due to extreme disorganization and lack of communication."
negative,"@JetBlue flying out of BUF 2 BOS, missing captain... Really? Delayed til 2:00... Not happy..."
neutral,@VirginAmerica is my new go to airline
negative,@united not completely.  Our flight was changed in July but we never received notification.
negative,@USAirways You will be hearing a lot more from me instead of your feedback when I get back home.
neutral,@JetBlue do bags still fly free or have you started charging? thanks!
neutral,@SouthwestAir Any way that I can get a receipt for a Cancelled Flightled portion of a roundtrip flight? Used the flight voucher just need receipt.
negative,@united A 3rd party service you use to sell your tickets has ripped me off. Excellent service United is offering.
positive,@SouthwestAir beyond ready
negative,@JetBlue we are missing our connecting transportation in Puerto Rico as a result. Need to get to Vieques today.
negative,@USAirways this is ridiculous #planebroken can't wait to board this one home 5 hours Late Flightr #neverontime #brutal #paymytab
negative,@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers
negative,@AmericanAir @Cowboycerrone You apologise for HIS frustrations &amp; HIS disappointment but NOT your terrible service? #BlameShiftOverload
negative,"@SouthwestAir also, they said they couldn't even book the flight. They were having to put me on hold &amp; have someone else do it???"
negative,@united that's the reply? Lol hoping that at least the new plane was maintained before the flight. 😒
positive,@SouthwestAir Your crew on 3138 is doing a great job of keeping everyone informed during the delays #givethemraises
positive,Bingo! “@SouthwestAir: Thank you for bringing this to our attention. We'll be happy to reach out to Noah so we can make this right. ^MR”
neutral,@SouthwestAir I absolutely will. Where can I send it?
neutral,"@SouthwestAir briughy me to @ComClassic, #AIF2015 &amp; so much more with the #agcommunity"
positive,@USAirways Exicted to be flying with y'all soon !!
negative,@USAirways I spent an hour on the phone with them and got no where at all
positive,@JetBlue Airways Corporation (NASDAQ:JBLU) Reaches on New High Range ... - StreetWise Report http://t.co/C7tpdKqULM
positive,@JetBlue Thank you for the JetBlue Credit. Nice save :-)
neutral,@USAirways Hi! On my dividend miles account I accidentally listed my newly married name as opposed to my legal name. I am trying to book
negative,@virginamerica What is your phone number. I can't find who to call about a flight reservation.
negative,@united I had one interview I was the last person what does that mean?
neutral,@AmericanAir Cancelled Flight previous request. Will accept ticket number for document number
positive,@SouthwestAir thank you for your help resolving my problem Shannon ROCKS - even though Rhonda didn't !!
negative,@SouthwestAir when will sw return to customer service?  Business travelers made sw now sw ignores us.
negative,@USAirways -beg to differ. 4 things booked wrong and still not fixed. Get your act together! #USAirSucks
neutral,@AmericanAir Of course you are because that's your companies job! You guys failed at it in the first place. Upgrade me and then we'll talk.
neutral,@SouthwestAir trying to fly out of Nashville tomorrow. How is it looking?
neutral,@united lets do that can you email boarding pass?
neutral,"@JetBlue I'd go to Portsmouth, NH to take care of my friend's son while she takes her daughter to Boston for surgery.  #flyingitforward"
neutral,@united Do miles earned with Explorer card count toward lifetime miles?
negative,@united has an United flight ever been on time. #americanisbetter
negative,"@united That doesn’t make any sense. I’ve been 1K for over 5 years, and you’re making it harder to keep me loyal."
neutral,@USAirways in a few weeks
positive,"@united thanks, just sent :)"
negative,"@united I'm grounded in Montreal with ua3659. I am missing my connection ua3417 to St. Louis. Can you help,Do you have a private jet for me?"
positive,@JetBlue Ok. Thanks for your help.
neutral,"@SouthwestAir I am in, let's do this!"
neutral,"@united When will you have special promotions for flights departing Newark, NJ to St. John's, Antigua?"
negative,@AmericanAir not yet. I'm next in the terminal a customer service area.
neutral,@united anything yet JJ?
negative,@JetBlue Why wasn't a $15 service credit voucher I received for tv not working accepted on my next flight for a pillow?
negative,@united 2nd Late Flight flight today
negative,"@USAirways Just discovered that they billed us $300 for the rescheduled flight, which cost me a second day of lost work."
negative,@USAirways I never made a reward reservation becuase no one ever answered the phone. The online one I made got Cancelled Flighted and I can't change
neutral,@SouthwestAir do new flights come out at midnight?
negative,@SouthwestAir been holding for 1 hour and 10 minutes. To rebook Cancelled Flightlation.You guys need more help!
positive,@USAirways Reservation agent on the phone did a great job.
neutral,@AmericanAir With snow/ice forecast DFW Tu pm-We am what is change policy on reservations we hold Wed morning? Any leeway??
negative,"@SouthwestAir Hey, friends. When I phone the A-list number your IVR hangs up on me. Multiple times. Not sure how to proceed?"
negative,"@AmericanAir no vouchers 4 Cancelled Flighted flight due 2 weather. Today's issue, broken tire. No vouchers cause tire was broken by weather. #nomoAA"
negative,@AmericanAir - And @AirSouthwest  had a flight from Chicago to Buffalo about an hour before our flight -- do they not care about safety?
negative,"@united e-ticket # 0162389030167, refund request # 16866853, case id # 8465981"
negative,@JetBlue Call was not made by the inflight crew. They in fact asked us why we didn't bring it on.
negative,@united what is the problem with your flights to ny today
negative,@USAirways XNA has TSA Precheck! Would be nice if your system knew that.
neutral,@USAirways oh they saw it and said nothing.
positive,@JetBlue Awesome! #bestairlineever
negative,"@AmericanAir also the problem is not calling us at all. Other airlines send an automatic call and email, and they rebook as a courtesy."
negative,@usairways Seriously. This is ridiculous. I shouldn't have to wait a hour for my luggage after I land. #wtf
neutral,"@AmericanAir My friend needs some help on her flt (she's not on Twiiter), can I DM you her info?"
negative,@SouthwestAir one of my bags didn't make it to my destination. I have the claim ticket. Any way to help out with a status on the location?
negative,@USAirways @PHLAirport how can a plane scheduled to come in on time and actually happen. Then you bozos don't have any room us. #incompetent
negative,"@JetBlue spoken to 2 reps. Once I'm allowed to check my bag and through the TSA checkpoint, I guarantee I will be talking to someone."
positive,@USAirways customer service at its best! Rachel S.  took great care of us at the PHX airport. http://t.co/HG7vEqhGHy
positive,@SouthwestAir #RedCarpet Southwest Companion Pass would be great!
negative,“@JetBlue: Our fleet's on fleek. http://t.co/tLGoihqkvS” 😐 make it stop.
positive,@AmericanAir I'm booked for Tuesday night. 60 degrees in Alabama right now. I'm good. Stay warm and safe.
neutral,"@united blood services, make your appt. today! 18009174929 http://t.co/6UXwPaduGS"
neutral,@SouthwestAir I have a question re: your ATL companion pass offer. I know I need 3 revenue flight roundtrips. What's a revenue flight? thnx
neutral,@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp
negative,"@JetBlue  I shouldn't have to find them, they should tell us. I've flown Jet Blue since your first month. The experience isn't what it was."
negative,@united had been suffering immensely ever since this merge .. Hopefully I'll never have to fly @united ever again ..
negative,@USAirways gate agent in CLT forced me to check bag in z1 &amp; proceeded to allow larger bags. Huge inconvenience to travel plans.
neutral,@AmericanAir well you spelled my name wrong.
positive,@united Give Cyndi &amp; Troy each a gold star.
neutral,"@JetBlue no, I am fine to fly! Haha, they come at random, with the hemophilia, but what if i need extra assistance"
positive,@united service by staff was great as usual. Cleanliness and smells a bit much. I'll be back. #satisfied traveler
negative,@USAirways I've been on hold for over 2 1/2 hours - there has to be an easier way to Cancelled Flight/get a refund... 😑😩 http://t.co/Cm4roIypc2
positive,"@united sweet, follow back and I'll get the dm off"
negative,@USAirways any updates on flight 1917 from Philly to LA?  Been sitting at gate for close to 2 hours
negative,"@USAirways @AmericanAir have the most rude, unreliable, horrible company with equally rude, unreliable and horrible employees. Stay tuned."
negative,@JetBlue well but for now the only thng we can do is wait for someone to explain us the situation with responsibility http://t.co/ML1JaCpmch
negative,@united thanks for having ground crews that are surprised when flights arrive. #beingsuckontarmacsucks!
negative,@united or did you mean 24-26?
negative,@SouthwestAir On hold waiting to make special accommodations for my mom who is traveling 1 hour and 24 minutes on hold.  Unacceptable!
negative,@AmericanAir my flight out of TYR tomorrow was Cancelled Flighted due to weather. How long until a rebook?
negative,@united @highbuddyyy that totally sucks my cousin worked at PHL said @united
neutral,@SouthwestAir currently rebooked thru Dallas but I hear they are expecting an ice storm (sigh) #strandedNYC
neutral,"@united I need to get from Albuquerque, NM, USA, to Cebu, Philippines. I'm providing educational help for 800 kids. Can you help me?"
negative,@JetBlue sorry to report we are stuck on Tarmac.. Being held so #notwheelsup
negative,"@united You need to change the way customer service is handled! I have been waiting for a supervisor to contact me for 17 days, what gives?"
negative,"@united I'm glad you didn't mean to, but it doesn't excuse your inefficiency! Only took 70min for the bags, we were your only arrival flight"
positive,@southwestair Amazing view on the approach to LAX tonight. http://t.co/a68d5fULmH
negative,@united customers aren't dumb. These revenue based programs will hurt everyone. Not gonna save money like you think
negative,@AmericanAir @dfwairport listening to all the flights taking off over my house and kicking myself for Flight Booking Problems an AM flight tomorrow. Iceday?
neutral,@VirginAmerica Having an issue finding a missing item on a plane. Can you help me find which airport my plane headed to next?
positive,"@SouthwestAir, I really appreciate you all's #BHM commercial that aired today during @BET's #BookofNegroes"
negative,@united RTB&gt;IAH 2/17 First class. My wife (Global Services) and I had headaches due to our neighbors smoking e cigarettes. Contact me pls
negative,@AmericanAir TSA said there is nothing they could do. But the question is why are your employee's swapping your customers belongings?
negative,@United many people on Ua6318 are going to miss connections due to long wait time in SFO tarmac. Seriously u can't find an empty gate?
negative,@AmericanAir She could even see that I had tried to make the transaction but wouldn't offer me the price I'd tried to purchase it at.
negative,"@united again I ask, who can I call to get this fixed? Tweeting me BS questions to stall only makes things worse. Phone number please."
negative,@AmericanAir The word failure means: an act or instance of failing or proving unsuccessful; lack of success nonperformance of something due.
negative,@AmericanAir not sure why we are being made to stand in line outside for plane that isn't ready to board when I could be sitting inside
neutral,@united 24 seats available on the 2:15 pm from ORD to RDU...I need 2 seats please
neutral,@SouthwestAir Is there any chance I can get tickets for the Vegas stop? I missed my chance to enter the contest but I love ID to death !
neutral,@USAirways please follow me so I can DM you about something
negative,@SouthwestAir Guys for real. I've been on hold for 4+ hours including one hangup. Please have someone reach out so I can get my $ back.
positive,@JetBlue good to hear. Thx for being responsive.
positive,"@united has unrivalled access to #California with flights to the U.S. from 7 UK airports, with nonstop or one-stop connections year-round"
